Crash Severity Description,Reportnumber,Agencyname,CollisionImpact Description,Crash County Description,FunctionalClass Description,ImpairedCrash,Large Vehicle Involved,OffRoad,RoadName,Route Number,RouteType Description,Unrestrained Occupants,Crashdate,Work Zone Crash,Latitude,Longitude,CrashYear,Crashtime,Crashhour
Property Damage Crashes,CB64300031,Howard County Police,Other,Howard,,No,Yes,Yes,,,,No,2/5/2025,No,39.217916342,-76.883695138,2025,11:31,11
Property Damage Crashes,MSP6931012V,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY,95.0,INTERSTATE ROUTE,No,1/15/2025,No,38.877568333,-76.843521667,2025,15:53,15
Property Damage Crashes,ADK912002M,Baltimore City Police Department,Other,Baltimore City,Minor Arterial,No,Yes,No,GREENE ST (SB/L),295.0,MARYLAND ROUTE,Yes,3/27/2025,No,39.28755525,-76.623618306,2025,08:16,8
Injury Crashes,MSP645200D3,Maryland State Police,Front to Rear,Baltimore County,Interstate,Yes,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,Yes,1/16/2025,No,39.38184678,-76.521257879,2025,22:09,22
Property Damage Crashes,DA44130004,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,56TH AVE,482.0,COUNTY ROAD,Yes,1/2/2025,No,38.950688287,-76.919887224,2025,12:37,12
Property Damage Crashes,DA36500050,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,NEWBERRY LA,2302.0,COUNTY ROAD,No,3/24/2025,No,38.976602652,-76.883416094,2025,03:14,3
Property Damage Crashes,AC24960067,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,Local,No,Yes,No,BAYLOR RD,864.0,COUNTY ROAD,No,2/3/2025,No,39.142733275,-76.635681861,2025,08:23,8
Property Damage Crashes,DA4397000S,Prince George's County Police,Single Vehicle,Prince George's,,No,Yes,Yes,,,,No,2/21/2025,No,38.841384509,-76.94375397,2025,00:33,0
Property Damage Crashes,MSP7789005V,Maryland State Police,Front to Rear,Anne Arundel,Principal Arterial – Other Freeways and Expressways,No,Yes,No,BALTIMORE WASHINGTON PKWY,295.0,MARYLAND ROUTE,No,3/9/2025,No,39.147913333,-76.751755,2025,04:27,4
Property Damage Crashes,CB607500D8,Howard County Police,"Sideswipe, Opposite Direction",Howard,Local,No,Yes,No,SAVAGE GUILFORD RD,124.0,COUNTY ROAD,No,3/18/2025,No,39.146407634,-76.826532319,2025,14:54,14
Property Damage Crashes,AE67980012,Baltimore County Police Department,Front to Rear,Baltimore County,Principal Arterial – Other,No,Yes,No,MERRITT BLVD,157.0,MARYLAND ROUTE,No,1/23/2025,No,39.2721621,-76.502359878,2025,13:00,13
Property Damage Crashes,MDTA1849000L,Maryland Transportation Authority Police,Single Vehicle,Anne Arundel,,No,Yes,Yes,,,,No,3/3/2025,No,39.180180357,-76.651932606,2025,14:30,14
Injury Crashes,MSP647600H9,Maryland State Police,Other,Prince George's,Principal Arterial – Other,No,Yes,No,CRAIN HWY,301.0,UNITED STATE ROUTE,No,3/5/2025,No,38.673931187,-76.875900345,2025,11:05,11
Property Damage Crashes,DA4417000F,Prince George's County Police,Angle,Prince George's,,Yes,Yes,Yes,,,,No,2/17/2025,No,38.767403737,-76.99130912,2025,12:43,12
Property Damage Crashes,AE47660001,Baltimore County Police Department,Unknown,Baltimore County,,No,Yes,Yes,,,,No,3/7/2025,No,39.293536959,-76.419632853,2025,08:00,8
Property Damage Crashes,MTA0145001Y,Maryland Transit Administration,Front to Rear,Baltimore City,,No,Yes,No,,1510.0,MUNICIPAL ROAD,No,1/24/2025,No,39.317935781,-76.615405159,2025,15:40,15
Property Damage Crashes,MSP4785001B,Maryland State Police,"Sideswipe, Same Direction",Anne Arundel,Minor Arterial,No,Yes,No,ROWE BLVD (SB/L),70.0,MARYLAND ROUTE,No,1/19/2025,No,38.994297033,-76.514109512,2025,11:30,11
Injury Crashes,MTA04230016,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,,No,Yes,No,,142.0,RAILROAD,No,2/4/2025,No,39.289407186,-76.617658923,2025,11:30,11
